base-files - 158-unknown
busybox - 1.30.1-5
dnsmasq-full - 2.89-4
dropbear - 2017.75-1
firewall - 2021-03-23-61db17ed-1.1
fstools - 2021-03-05-1
fwtool - 1
hostapd-common - 2023-06-22-599d00be-1.2p
ip-bridge - 4.4.0-9
ip-full - 4.4.0-9
ip6tables - 1.8.3-1
iptables - 1.8.3-1
iptables-mod-ipopt - 1.8.3-1
iw - 5.9-8fab0c9e
iwinfo - 2022-08-19-0dad3e66-1
jshn - 2023-05-23-75a3b870-1
jsonfilter - 2014-06-19-cdc760c58077f44fc40adbbe41e1556a67c1b9a9
kernel - 3.18.140-1-2167912280cf31b88a0b52311ef81554
kmod-8021q - 3.18.140-1
kmod-bridge - 3.18.140-1
kmod-cfg80211 - 3.18.140+5.10.42-1-2
kmod-crypto-aead - 3.18.140-1
kmod-crypto-aes - 3.18.140-1
kmod-crypto-arc4 - 3.18.140-1
kmod-crypto-authenc - 3.18.140-1
kmod-crypto-cbc - 3.18.140-1
kmod-crypto-ccm - 3.18.140-1
kmod-crypto-core - 3.18.140-1
kmod-crypto-ctr - 3.18.140-1
kmod-crypto-ecb - 3.18.140-1
kmod-crypto-hash - 3.18.140-1
kmod-crypto-iv - 3.18.140-1
kmod-crypto-manager - 3.18.140-1
kmod-crypto-pcompress - 3.18.140-1
kmod-crypto-rng - 3.18.140-1
kmod-crypto-seqiv - 3.18.140-1
kmod-crypto-sha1 - 3.18.140-1
kmod-crypto-wq - 3.18.140-1
kmod-fast-classifier - 3.18.140-1
kmod-fs-exfat - 3.18.140+2017-06-20-de4c760b-1
kmod-fs-ext4 - 3.18.140-1
kmod-fs-vfat - 3.18.140-1
kmod-fuse - 3.18.140-1
kmod-gpio-button-hotplug - 3.18.140-1
kmod-gre - 3.18.140-1
kmod-input-core - 3.18.140-1
kmod-ip6tables - 3.18.140-1
kmod-ipt-conntrack - 3.18.140-1
kmod-ipt-conntrack-extra - 3.18.140-1
kmod-ipt-core - 3.18.140-1
kmod-ipt-ipopt - 3.18.140-1
kmod-ipt-ipset - 3.18.140-1
kmod-ipt-nat - 3.18.140-1
kmod-iptunnel - 3.18.140-1
kmod-l2tp - 3.18.140-1
kmod-leds-gpio - 3.18.140-1
kmod-lib-crc-ccitt - 3.18.140-1
kmod-lib-crc16 - 3.18.140-1
kmod-llc - 3.18.140-1
kmod-loop - 3.18.140-1
kmod-mac80211 - 3.18.140+5.10.42-1-2
kmod-mii - 3.18.140-1
kmod-mppe - 3.18.140-1
kmod-nf-conntrack - 3.18.140-1
kmod-nf-conntrack-netlink - 3.18.140-1
kmod-nf-conntrack6 - 3.18.140-1
kmod-nf-ipt - 3.18.140-1
kmod-nf-ipt6 - 3.18.140-1
kmod-nf-nat - 3.18.140-1
kmod-nf-nathelper - 3.18.140-1
kmod-nfnetlink - 3.18.140-1
kmod-nls-base - 3.18.140-1
kmod-ppp - 3.18.140-1
kmod-pppoe - 3.18.140-1
kmod-pppol2tp - 3.18.140-1
kmod-pppox - 3.18.140-1
kmod-pptp - 3.18.140-1
kmod-rt2800-lib - 3.18.140+5.10.42-1-2
kmod-rt2800-mmio - 3.18.140+5.10.42-1-2
